"Nature","Year","Incidents"
"Jan",1996,0
"Feb",1996,0
"Mar",1996,0
"Apr",1996,2171
"May",1996,4404
"Jun",1996,6070
"Jul",1996,6907
"Aug",1996,6567
"Sep",1996,6938
"Oct",1996,7474
"Nov",1996,5029
"Dec",1996,6509
"Jan",1997,6123
"Feb",1997,5519
"Mar",1997,6850
"Apr",1997,7184
"May",1997,6754
"Jun",1997,6696
"Jul",1997,7175
"Aug",1997,6332
"Sep",1997,7561
"Oct",1997,7439
"Nov",1997,5960
"Dec",1997,7604
"Jan",1998,6832
"Feb",1998,7055
"Mar",1998,8938
"Apr",1998,8057
"May",1998,7409
"Jun",1998,8737
"Jul",1998,8757
"Aug",1998,8532
"Sep",1998,7577
"Oct",1998,8165
"Nov",1998,7848
"Dec",1998,8614
"Jan",1999,8621
"Feb",1999,9949
"Mar",1999,11492
"Apr",1999,9478
"May",1999,10400
"Jun",1999,10956
"Jul",1999,8518
"Aug",1999,10484
"Sep",1999,8471
"Oct",1999,9843
"Nov",1999,11243
"Dec",1999,11050
"Jan",2000,13399
"Feb",2000,13634
"Mar",2000,15154
"Apr",2000,11499
"May",2000,13674
"Jun",2000,13963
"Jul",2000,12611
"Aug",2000,14111
"Sep",2000,13321
"Oct",2000,13148
"Nov",2000,14437
"Dec",2000,13769
"Jan",2001,13767
"Feb",2001,14660
"Mar",2001,16084
"Apr",2001,15357
"May",2001,16335
"Jun",2001,14387
"Jul",2001,16823
"Aug",2001,19203
"Sep",2001,14283
"Oct",2001,20571
"Nov",2001,20444
"Dec",2001,21624
"Jan",2002,19424
"Feb",2002,17881
"Mar",2002,25037
"Apr",2002,19249
"May",2002,27313
"Jun",2002,16590
"Jul",2002,26600
"Aug",2002,22433
"Sep",2002,24571
"Oct",2002,25134
"Nov",2002,25340
"Dec",2002,24251
"Jan",2003,23535
"Feb",2003,23472
"Mar",2003,24597
"Apr",2003,22688
"May",2003,21454
"Jun",2003,21821
"Jul",2003,22335
"Aug",2003,23183
"Sep",2003,25549
"Oct",2003,27959
"Nov",2003,25066
"Dec",2003,26684
"Jan",2004,22705
"Feb",2004,28501
"Mar",2004,31051
"Apr",2004,29350
"May",2004,29788
"Jun",2004,31028
"Jul",2004,32413
"Aug",2004,35480
"Sep",2004,31162
"Oct",2004,34949
"Nov",2004,36983
"Dec",2004,38261
"Jan",2005,39475
"Feb",2005,37437
"Mar",2005,43469
"Apr",2005,42185
"May",2005,43866
"Jun",2005,44660
"Jul",2005,40193
"Aug",2005,46278
"Sep",2005,46132
"Oct",2005,44135
"Nov",2005,51248
"Dec",2005,43577
"Jan",2006,39895
"Feb",2006,45197
"Mar",2006,52414
"Apr",2006,46792
"May",2006,50800
"Jun",2006,50706
"Jul",2006,45079
"Aug",2006,50352
"Sep",2006,44208
"Oct",2006,49517
"Nov",2006,48821
"Dec",2006,43299
"Jan",2007,56378
"Feb",2007,56750
"Mar",2007,58356
"Apr",2007,51525
"May",2007,50277
"Jun",2007,51407
"Jul",2007,56971
"Aug",2007,53925
"Sep",2007,49957
"Oct",2007,58652
"Nov",2007,52569
"Dec",2007,52409
"Jan",2008,52160
"Feb",2008,57731
"Mar",2008,57791
"Apr",2008,64184
"May",2008,57707
"Jun",2008,58490
"Jul",2008,61520
"Aug",2008,65982
"Sep",2008,60820
"Oct",2008,72215
"Nov",2008,63025
"Dec",2008,60938
"Jan",2009,56170
"Feb",2009,60944
"Mar",2009,74987
"Apr",2009,65360
"May",2009,58816
"Jun",2009,59741
"Jul",2009,58893
"Aug",2009,56510
"Sep",2009,56530
"Oct",2009,58546
"Nov",2009,54530
"Dec",2009,59282
"Jan",2010,0
"Feb",2010,0
"Mar",2010,0
"Apr",2010,0
"May",2010,0
"Jun",2010,0
"Jul",2010,0
"Aug",2010,0
"Sep",2010,0
"Oct",2010,0
"Nov",2010,0
"Dec",2010,0
"Jan",2011,0
"Feb",2011,0
"Mar",2011,0
"Apr",2011,0
"May",2011,0
"Jun",2011,0
"Jul",2011,0
"Aug",2011,0
"Sep",2011,0
"Oct",2011,0
"Nov",2011,0
"Dec",2011,0
